C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,time
-1.4639331151217614,-2.4232264936692682,-2.739027108909695,-4.377979617902433,-4.218530429644644,-3.054483482767883,-4.190073730584877,-3.4807020098947876,-4.094034695804959,-3.747091070627802,-3.828190924784085,-4.032877458141848,-4.50155487472815,99
-1.4665932973167057,-2.395112552901119,-2.7402107337541297,-4.374164867763799,-4.221685638203114,-3.0524826137597008,-4.192615045257878,-3.480715676386854,-4.098938772607826,-3.751469106834076,-3.8323253225036655,-4.037447116589772,-4.507248419237308,100
-1.464316691941304,-2.3851160321718448,-2.7412133695519656,-4.364341204984383,-4.217977449939661,-3.0529122996110343,-4.195669748147275,-3.480671391265157,-4.100950341733125,-3.7542907382321387,-3.835888976004774,-4.040346194445377,-4.510625211805871,101
-1.4581373344937847,-2.357982618763815,-2.7439348095746636,-4.337676977440254,-4.207912367510288,-3.054078589778939,-4.203961084561351,-3.4805511887919782,-4.10641031507322,-3.761949452026881,-3.8455617497934975,-4.048215120053446,-4.519790791634829,102
-1.4490309129921772,-2.317996535846719,-2.747945352766007,-4.2983823263225895,-4.193079614456476,-3.055797333184272,-4.216179896118938,-3.4803740483051886,-4.114456591574414,-3.7732359776191315,-3.859816363797931,-4.059811431475863,-4.533297961909082,103
-1.4379731154545115,-2.269442006590246,-2.7528152980697826,-4.25066739282257,-4.175068414319704,-3.0578843787478913,-4.231017024438865,-3.4801589491426594,-4.124227070183007,-3.7869410444097227,-3.8771255379461724,-4.073892666774514,-4.5496995258135335,104
-1.4259396298988158,-2.216603254164083,-2.7581149444297726,-4.198742318131371,-4.155467990641451,-3.0601555753906533,-4.2471633111399605,-3.479924870642259,-4.134859649845299,-3.801855381799483,-3.895961992166317,-4.08921636401128,-4.567548286533083,105
-1.4139061443431205,-2.16376450173792,-2.763414590789763,-4.1468172434401716,-4.135867566963199,-3.0624267720334153,-4.263309597841057,-3.479690792141859,-4.1454922295075916,-3.8167697191892436,-3.9147984463864622,-4.104540061248046,-4.585397047252632,106
-1.4028483468054544,-2.1152099724814466,-2.768284536093538,-4.099102309940151,-4.117856366826428,-3.0645138175970343,-4.278146726160983,-3.479475692979329,-4.155262708116184,-3.8304747859798343,-3.932107620534703,-4.118621296546697,-4.601798611157084,107
-1.3937419253038472,-2.075223889564351,-2.772295079284882,-4.059807658822487,-4.103023613772615,-3.066232561002368,-4.29036553771857,-3.4792985524925397,-4.163308984617378,-3.8417613115720854,-3.9463622345391367,-4.130217607969114,-4.615305781431338,108
-1.387562567856328,-2.0480904761563217,-2.7750165193075795,-4.033143431278359,-4.092958531343243,-3.0673988511702723,-4.298656874132646,-3.479178350019361,-4.168768957957473,-3.849420025366827,-3.95603500832786,-4.138086533577184,-4.624471361260295,109
-1.3852859624809262,-2.0380939554270476,-2.7760191551054154,-4.023319768498943,-4.089250343079789,-3.067828537021606,-4.301711577022043,-3.479134064897664,-4.170780527082772,-3.85224165676489,-3.9595986618289682,-4.140985611432788,-4.627848153828858,110
-1.3664445586393876,-2.0382391381795,-2.7795316903703204,-4.006072451854157,-4.076294200710663,-3.073682262656513,-4.297948211827694,-3.48416565467459,-4.168852500479344,-3.857972038417198,-3.9661247830220447,-4.147659854184654,-4.634426424714011,111
-1.3153036053552132,-2.038633205650444,-2.789065714660777,-3.9592583066754576,-4.0411275285658945,-3.0895709465226884,-4.287733363443033,-3.4978228269262477,-4.163619285412898,-3.8735259314734636,-3.983838540546109,-4.165775655939719,-4.652281731402282,112
-1.2399379899890612,-2.039213936660255,-2.803115855720397,-3.89026904009632,-3.989302959089393,-3.1129858490623152,-4.272679902665638,-3.5179491860339525,-4.155907178999189,-3.896447458082696,-4.009943025318414,-4.192472626947183,-4.67859481494289,113
-1.1484225999015916,-2.0399191100293117,-2.820176741292793,-3.8064963592502257,-3.9263731247250706,-3.1414182307175773,-4.254400700293089,-3.542388336379023,-4.146542478353971,-3.924280740393908,-4.041641328256214,-4.224890377456247,-4.7105464163850606,114
-1.0488323224534626,-2.040686504577991,-2.8387429991215765,-3.7153319712706514,-3.857890657916837,-3.1723593519306554,-4.23450862712296,-3.568983882342776,-4.136351480592997,-3.9545699005561086,-4.07613654027676,-4.26016851771611,-4.7453172767780085,115
-0.9492420450053322,-2.04145389912667,-2.85730925695036,-3.6241675832910762,-3.7894081911086017,-3.203300473143735,-4.214616553952831,-3.5955794283065297,-4.126160482832024,-3.9848590607183096,-4.110631752297307,-4.295446657975974,-4.7800881371709565,116
-0.8577266549178625,-2.042159072495727,-2.8743701425227557,-3.540394902444981,-3.726478356744279,-3.231732854798996,-4.19633735158028,-3.6200185786516004,-4.116795782186805,-4.012692343029522,-4.142330055235106,-4.327864408485038,-4.812039738613126,117
-0.7823610395517111,-2.042739803505538,-2.8884202835823753,-3.4714056358658447,-3.6746537872677782,-3.255147757338623,-4.181283890802886,-3.6401449377593056,-4.109083675773095,-4.035613869638754,-4.168434540007411,-4.354561379492502,-4.838352822153735,118
-0.7312200862675371,-2.0431338709764812,-2.897954307872832,-3.4245914906871446,-3.6394871151230097,-3.271036441204799,-4.1710690424182255,-3.6538021100109623,-4.103850460706649,-4.051167762695019,-4.186148297531475,-4.372677181247567,-4.856208128842005,119
-0.7123786824259992,-2.0432790537289343,-2.901466843137737,-3.4073441740423602,-3.6265309727538844,-3.2768901668397055,-4.167305677223877,-3.6588336997878885,-4.101922434103222,-4.056898144347327,-4.192674418724551,-4.379351423999433,-4.862786399727158,120
