C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,time
-2.0243773762809174,-3.4353463734992977,-3.3972347982451376,-3.455867233769602,-4.182970263683273,-3.8815839998636217,-3.783410574693424,-4.028057792577124,-4.764815322875244,-3.7334200671279367,-4.4044496221173075,-5.713086886023619,-5.774476365806493,-4.557179984259209,-3.7189272181833237,-4.244106156109262,-4.1989984972030054,-4.587754327674403,-4.5756327890761535,-5.808020957869817,-5.7333280263746405,-5.976028038461573,129
-2.0244129617445177,-3.4541265988415386,-3.410159539178319,-3.4631409367503174,-4.248330719636355,-3.919134092559455,-3.789655293378126,-4.048093471593257,-4.820156709530469,-3.757227108608915,-4.267832522971774,-5.766534390161552,-5.75102432032255,-4.66161939284085,-3.7305241087779417,-4.270275427560954,-4.219922088897694,-4.5082403518902385,-4.622698074699755,-5.851261665449384,-5.7347996929620635,-6.0074491778624335,130
-2.024097786870505,-3.4669145703371744,-3.422600520049875,-3.479057361962063,-4.316590489734206,-3.968382098049719,-3.793348396435882,-4.075108861347647,-4.863041306083368,-3.781648924326869,-4.18867243494768,-5.822261611413985,-5.6839441332314,-4.768619387514027,-3.7476187076009095,-4.2812424083435365,-4.240974371368808,-4.505756102236841,-4.6798874084736655,-5.890586343587706,-5.74332428480492,-5.995898682383708,131
-2.024036350045938,-3.4756100459418264,-3.433815616263493,-3.5035625097229945,-4.396380645730163,-4.03282764309024,-3.7922950839844973,-4.107638198543931,-4.897060287276901,-3.8075732964015097,-4.143307152402188,-5.880757958256071,-5.568626714918966,-4.891376348091877,-3.7665905331835914,-4.2778123081291435,-4.259215611017873,-4.557343437321425,-4.756751890115399,-5.927704115038845,-5.766462462664105,-5.9470869222662746,132
-2.0241912631637686,-3.480911532317148,-3.444122486276051,-3.5341011265426885,-4.482633543406351,-4.107586933961782,-3.7880853967740875,-4.144794586479666,-4.92401454126429,-3.834349752968291,-4.1273840141283,-5.939607723142761,-5.417178657928171,-5.02256997955776,-3.7879843468194876,-4.263389970644379,-4.276008486066457,-4.652556355507228,-4.846606036701799,-5.960652492799926,-5.800560830035532,-5.86997769822465,133
-2.024525138116949,-3.483517536124794,-3.453838788544432,-3.5681179589307233,-4.570281538544897,-4.1877761769451105,-3.7823093755547705,-4.185691128452407,-4.945704956198766,-3.861327822162668,-4.1365503589190205,-5.996395198529006,-5.241706554801944,-5.154879986895049,-3.812344909802104,-4.241380239615848,-4.292715674736135,-4.780948855157499,-4.942764365309714,-5.987468989868072,-5.841965990415124,-5.773534810973365,134
-2.025000586798431,-3.4841265640264165,-3.463282181525512,-3.603057753396676,-4.65425698692792,-4.268511578320993,-3.7765570610766606,-4.2294409277597085,-4.96393242023355,-3.887857032120092,-4.166453525567352,-6.048704676869757,-5.0543169980832054,-5.280986075087103,-3.8402169834249382,-4.215187958770157,-4.310699855248473,-4.932074934635478,-5.038541393015985,-6.006191119240406,-5.887024547298797,-5.6667220612269364,135
-2.0255802211011673,-3.4834371226836702,-3.472770323676173,-3.636365256450124,-4.729492244337548,-4.344909344370194,-3.772418494089875,-4.275157087699128,-4.980497821521871,-3.913286910976018,-4.2127408528663,-6.094120450619967,-4.867116580314881,-5.393567949117291,-3.8721453289814964,-4.188217971833909,-4.331323705825045,-5.095488592304415,-5.1272516368974586,-6.014856393914054,-5.932083104182471,-5.558503249699889,136
-2.0262266529181083,-3.4821477187582084,-3.482620873453293,-3.665485214600644,-4.790919666555901,-4.412085681373477,-3.77148371534453,-4.321952711568217,-4.997202048216954,-3.936966986865899,-4.271059679608866,-6.130226812234584,-4.6922118940398985,-5.485305313968977,-3.9086747077652775,-4.16387512253371,-4.355949904687419,-5.260743826527545,-5.202209614030976,-6.011502326886139,-5.973488264562062,-5.45784217710675,137
-2.0269024941422074,-3.480956858911685,-3.4931514893137536,-3.687862374357813,-4.833471609365105,-4.465156795611608,-3.775342765590742,-4.368940902664534,-5.015845988472024,-3.9582467879251886,-4.337057344588054,-6.154608054168561,-4.541709531801181,-5.548877874625524,-3.9503498810697844,-4.145564254596165,-4.385941130057168,-5.417394635668117,-5.256729841493383,-5.9941664311537854,-6.00758663193349,-5.373702644162042,138
