C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,time
-2.0256374483972635,-3.6005517131592124,-4.329367755395712,-3.4007462329106226,-4.3973722395727,-2.7982705959362963,-4.279048863697512,-4.5866324142100545,-3.1429843676624687,-3.3979221214378965,-4.04012650074186,-3.779151933241385,-3.9488954513019854,-3.8689207462107333,-4.321395976347201,-5.092860904426383,87
-1.9989509150023772,-3.5607974452285993,-4.318648545034021,-3.368749050870449,-4.3794583851617235,-2.780819587007124,-4.268188104281613,-4.56765302515236,-3.1314246826738374,-3.3826650185464966,-4.0441246685273695,-3.7934117561509813,-3.9543054674862392,-3.880692134056284,-4.357415623033404,-5.124278276949062,88
-1.9808421959129903,-3.533821334847112,-4.31137479514573,-3.3470366773431883,-4.367302555382847,-2.768977830948043,-4.260818303249397,-4.5547741540060676,-3.123580610717267,-3.372311984441618,-4.046837710953251,-3.8030880645539216,-3.957976549896983,-3.888679861522907,-4.381857526141898,-5.1455972083037365,89
-1.9741705625642687,-3.5238827678644586,-4.308694992555307,-3.339037381833145,-4.3628240917801024,-2.7646150787157495,-4.258103113395421,-4.550029306741644,-3.120690689470109,-3.368497708718768,-4.047837252899628,-3.80665302028132,-3.9593290539430464,-3.8916227084842943,-4.390862437813448,-5.153451551434406,90
-1.972687543674375,-3.5170374834047102,-4.304103375249014,-3.331749975584172,-4.3495906315824655,-2.766607315214457,-4.247795544555953,-4.5340700713484265,-3.121120448921029,-3.369479641583924,-4.054835448500227,-3.81205123349058,-3.965258878154965,-3.897472104829884,-4.395659340538033,-5.165115534909291,91
-1.96866220668752,-3.4984574255853933,-4.2916404139890725,-3.311969872908388,-4.3136712396174515,-2.772014814282377,-4.2198178577059675,-4.490752146709694,-3.122286938859241,-3.372144887932203,-4.07383055084471,-3.826703526487143,-3.9813541153016017,-3.913349037767913,-4.408679505076192,-5.196774918626836,92
-1.9627301311279441,-3.4710762877463996,-4.273273944763896,-3.282820247912496,-4.260737398826905,-2.779983760277206,-4.1785875823480945,-4.426915205136824,-3.1240059766629207,-3.3760726193928248,-4.101823333247107,-3.8482963793241822,-4.005073412149276,-3.936746623150271,-4.42786711597453,-5.243430852526376,93
-1.9555268965198884,-3.4378277632276224,-4.250971803561897,-3.247424274703199,-4.19646059215267,-2.7896603375566427,-4.1285222479849635,-4.349398918941199,-3.1260933797102473,-3.380842007595009,-4.135814569021445,-3.874516272054874,-4.03387541546431,-3.9651579768288485,-4.451166357779657,-5.300084486547246,94
-1.947688082387592,-3.4016455453689525,-4.226701826371485,-3.208905127387199,-4.12651230253659,-2.8001907304783815,-4.074039384119203,-4.265042960434194,-3.128364965379396,-3.3860322241679737,-4.172805031481754,-3.9030496847323906,-4.065218772013023,-3.996076214655536,-4.476521415038177,-5.36173697062878,95
-1.939849268255296,-3.365463327510283,-4.202431849181075,-3.1703859800711993,-4.056564012920511,-2.8107211234001204,-4.019556520253443,-4.180687001927188,-3.130636551048545,-3.3912224407409384,-4.209795493942064,-3.9315830974099075,-4.096562128561736,-4.026994452482223,-4.501876472296697,-5.423389454710315,96
-1.9326460336472395,-3.332214802991505,-4.180129707979075,-3.1349900068619014,-3.9922872062462744,-2.8203977006795564,-3.969491185890311,-4.103170715731561,-3.132723954095871,-3.3959918289431226,-4.243786729716403,-3.957802990140599,-4.125364131876769,-4.055405806160802,-4.525175714101824,-5.480043088731185,97
-1.9267139580876638,-3.304833665152511,-4.161763238753899,-3.1058403818660096,-3.9393533654557285,-2.8283666466743855,-3.9282609105324378,-4.039333774158692,-3.1344429918995513,-3.3999195604037444,-4.2717795121187985,-3.9793958429776386,-4.1490834287244445,-4.078803391543159,-4.5443633250001625,-5.526699022630725,98
-1.922688621100809,-3.2862536073331947,-4.149300277493959,-3.086060279190226,-3.903433973490715,-2.833774145742306,-3.900283223682453,-3.9960158495199596,-3.1356094818377627,-3.402584806752024,-4.290774614463282,-3.9940481359742015,-4.165178665871081,-4.094680324481188,-4.557383489538322,-5.558358406348269,99
-1.9212056022109152,-3.2794083228734463,-4.144708660187664,-3.078772872941253,-3.890200513293078,-2.835766382241013,-3.889975654842985,-3.9800566141267426,-3.1360392412886826,-3.403566739617179,-4.297772810063881,-3.999446349183461,-4.171108490082999,-4.100529720826778,-4.562180392262906,-5.570022389823154,100
