C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,time
-0.2892494331609638,-2.9952513918128107,-3.701076595534747,-3.3025752735662652,-3.101449465461895,-2.946010354811754,-3.5174725617874807,-3.4718930133995785,-3.428232882555803,-3.269703601685355,-3.5115092604740368,-3.9369376175029434,-4.430928996550534,-4.207631040199694,-4.292107401578632,-4.338594251259335,-4.824811932450291,-5.561204196311803,114
-0.2808360857311155,-2.987637108407551,-3.707170642023899,-3.285273623871037,-3.115132822445384,-2.9579953475075262,-3.508595163141443,-3.4622545300884404,-3.421821123458132,-3.287203401832194,-3.52927757713469,-3.963834038403205,-4.425493034375606,-4.228455161016115,-4.315475732085862,-4.358951645869263,-4.852014119527803,-5.784169637843711,115
-0.2724227383012671,-2.9800228250022913,-3.713264688513051,-3.267971974175809,-3.1288161794288727,-2.969980340203299,-3.499717764495406,-3.452616046777303,-3.4154093643604613,-3.304703201979034,-3.5470458937953424,-3.990730459303467,-4.420057072200678,-4.249279281832537,-4.338844062593093,-4.379309040479192,-4.879216306605316,-6.0071350793756215,116
-0.2646915541765417,-2.9730259159271877,-3.7188646231247047,-3.2520731609423565,-3.1413900750353223,-2.9809935767345497,-3.491560154928777,-3.4437590621130143,-3.409517477622061,-3.3207840994112643,-3.563373536132159,-4.015446089319924,-4.415061863715609,-4.268414960420599,-4.360317663599737,-4.398015835526154,-4.904212910946813,-6.212022241864401,117
-0.258324696662062,-2.9672637555123966,-3.72347633398136,-3.238980020632454,-3.1517450478876925,-2.990063300936756,-3.484842123520965,-3.436465074742424,-3.4046653356022016,-3.3340271914142776,-3.576819829821302,-4.03580013756877,-4.410948162610258,-4.2841737545519445,-4.3780018056052095,-4.41342143144718,-4.924798349816283,-6.380752846266924,118
-0.25400432906295073,-2.9633537180880745,-3.7266057092055194,-3.230095389707878,-3.158771636608943,-2.9962177566453954,-3.4802834593513787,-3.4315155833123803,-3.401372810660155,-3.343013575273465,-3.585944100538934,-4.049611813166202,-4.408156722574485,-4.2948672219982145,-4.390001759108922,-4.4238752286793055,-4.938767040477707,-6.495248613540066,119
-0.2524126146843308,-2.9619131779843766,-3.7277586369196833,-3.2268221046304024,-3.1613603798220358,-2.9984851876959473,-3.4786039514994256,-3.4296920864697324,-3.4001597751551897,-3.3463243482742184,-3.5893056739612197,-4.0547003252284135,-4.407128297298146,-4.298806920531051,-4.39442279461029,-4.427726627659562,-4.943913400195075,-6.537431264640697,120
-0.252158367455753,-2.960063038372442,-3.720098956675571,-3.2234988212689486,-3.160259681913037,-3.0002233867423262,-3.4754031167550523,-3.4269882344965303,-3.3964845749001724,-3.3487739145689353,-3.591553966391012,-4.058179523135827,-4.413855472312414,-4.301391838182481,-4.396998312983867,-4.4305107647941036,-4.943869107181919,-6.536979796942416,121
-0.25146826783532766,-2.955041230854334,-3.699308396012981,-3.2144784807164317,-3.1572720733028974,-3.0049413555824986,-3.466715136734611,-3.4196492077121254,-3.386509031350841,-3.355422737368881,-3.5976564744147344,-4.0676230603130925,-4.432114947351139,-4.308408043236366,-4.403989005712148,-4.438067708445001,-4.943748883289068,-6.535754384618511,122
-0.25045127892101654,-2.947640672406595,-3.668669675036532,-3.2011853472706164,-3.152869281666902,-3.011894151768015,-3.4539117977571174,-3.408833799819317,-3.3718082303307724,-3.365221002547748,-3.6066496441339035,-4.081539851942746,-4.459023647408208,-4.318747713842087,-4.414291079206457,-4.449204256983164,-4.943571711236444,-6.533948513825386,123
-0.2492163638107817,-2.9386542800057707,-3.6314655138508445,-3.1850436852292705,-3.147523034680337,-3.0203368328504285,-3.4383648861415907,-3.3957008045209083,-3.3539572576635472,-3.3771188959792298,-3.6175699216500385,-4.098438813207326,-4.491698497477506,-4.331303028149036,-4.426800739878118,-4.462727208779506,-4.943356573743975,-6.531755670719452,124
-0.2478724856025849,-2.928874970628402,-3.5909786325605375,-3.1674777588901577,-3.141705060018486,-3.0295244563812895,-3.421446188207047,-3.3814090155196976,-3.3345311991727424,-3.3900666035370186,-3.629453753064655,-4.1168288592893685,-4.527256422552918,-4.344966164306598,-4.440414194138454,-4.477443362204936,-4.94312245353158,-6.529369341457111,125
-0.2465286073943881,-2.9190956612510335,-3.55049175127023,-3.1499118325510453,-3.135887085356636,-3.038712079912151,-3.404527490272502,-3.3671172265184874,-3.315105140681938,-3.4030143110948075,-3.641337584479272,-4.135218905371411,-4.562814347628332,-4.35862930046416,-4.454027648398791,-4.492159515630367,-4.9428883333191855,-6.526983012194768,126
-0.24529369228415324,-2.9101092688502086,-3.513287590084542,-3.1337701705096985,-3.13054083837007,-3.0471547609945637,-3.3889805786569753,-3.353984231220078,-3.2972541680147125,-3.414912204526289,-3.6522578619954063,-4.15211786663599,-4.5954891976976295,-4.371184614771109,-4.466537309070452,-4.505682467426709,-4.942673195826715,-6.524790169088833,127
-0.24427670336984214,-2.9027087104024702,-3.4826488691080937,-3.120477037063884,-3.126138046734075,-3.0541075571800804,-3.3761772396794827,-3.34316882332727,-3.2825533669946445,-3.4247104697051562,-3.6612510317145754,-4.166034658265644,-4.6223978977546984,-4.381524285376831,-4.47683938256476,-4.516819015964872,-4.942496023774092,-6.52298429829571,128
-0.24358660374941676,-2.897686902884362,-3.4618583084455037,-3.111456696511367,-3.1231504381239357,-3.058825526020253,-3.367489259659041,-3.3358297965428645,-3.2725778234453125,-3.431359292505102,-3.6673535397382975,-4.175478195442909,-4.640657372793423,-4.388540490430715,-4.483830075293041,-4.524375959615769,-4.942375799881241,-6.5217588859718045,129
-0.243332356520839,-2.8958367632724276,-3.4541986282013917,-3.108133413149913,-3.122049740214937,-3.0605637250666318,-3.3642884249146676,-3.333125944569663,-3.2689026231902956,-3.433808858799819,-3.66960183216809,-4.178957393350323,-4.6473845478076905,-4.391125408082145,-4.4864055936666185,-4.52716009675031,-4.9423315068680855,-6.521307418273524,130
-0.24181253780127857,-2.894698925246326,-3.422846025965079,-3.1103764438232826,-3.122559883829634,-3.0631883244956915,-3.365166456273406,-3.3339009924992555,-3.270107690016115,-3.4362442354597875,-3.6742220008383364,-4.184257495114884,-4.649662023690569,-4.394699002858563,-4.492193432056068,-4.530992184277333,-4.945685891519247,-6.485054529617334,131
