C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,time
-2.7329337797049353,-2.7699267592933103,-2.6580032818941435,-2.5314160981261393,-2.671971137323982,-2.7797701549105276,-2.757114600498671,-3.2110780255398956,-3.257549496868244,-3.62359758199523,-3.0777407752810904,-2.944531015487352,-3.175322259802185,-3.3313410005842243,-3.229319964133319,-3.446895452881922,-4.947428830035853,82
-2.721986713024827,-2.790243103215568,-2.6450002676868314,-2.544579428835815,-2.6785813254789455,-2.753935374908641,-2.771365827685896,-3.2417394976144367,-3.2760655084384367,-3.6306525574186703,-3.0948179516468146,-2.9613128918953446,-3.1948048608401374,-3.364640952637371,-3.2630486022752714,-3.478284566808238,-5.073267734877767,83
-2.710656363655841,-2.81491294940688,-2.629210893292239,-2.557768726507103,-2.6866079825242597,-2.7354094921511627,-2.7855591940476487,-3.2744647898862773,-3.2946775270112663,-3.635990288535709,-3.111949477053232,-2.978336043383357,-3.214820282732935,-3.3999703486707165,-3.2988207570404495,-3.51141816001308,-5.226072119328661,84
-2.6988283908571917,-2.8417595467327192,-2.6120283388040058,-2.570594504903152,-2.6953428740147474,-2.723343403626809,-2.799246705540486,-3.3075902815699503,-3.3127990349993497,-3.640071355867794,-3.128687203313111,-2.9949723653310043,-3.234650450212646,-3.4355095374787075,-3.335103536321923,-3.544659569194753,-5.392359243584045,85
-2.6863884538880938,-2.8686061440585586,-2.5948457843157717,-2.5826672777871127,-2.7040777655052355,-2.716888006324299,-2.811980368120968,-3.339452351879996,-3.329843514815304,-3.643356339936377,-3.1445829822392217,-3.010593753117901,-3.2535772880113396,-3.46943886785579,-3.370364048012761,-3.5763721310515635,-5.558646367839433,86
-2.6732222120077638,-2.89327599024987,-2.5790564099211792,-2.5935975589221334,-2.7121044225505484,-2.7151941972323503,-2.8233121877456497,-3.3683873800309483,-3.3452244488717477,-3.6463058212629056,-3.159188665644331,-3.024572102123662,-3.2708827208610822,-3.4999386885964103,-3.4030694000060295,-3.604919182281818,-5.711450752290323,87
-2.6592153244754146,-2.9135923341721277,-2.5660533957138676,-2.602995862071365,-2.7187146107055127,-2.7174128733396814,-2.832794170371092,-3.392731745237346,-3.3583553195812987,-3.649380380368832,-3.1720561053412104,-3.0362793077279018,-3.2858486734939456,-3.525189348495017,-3.4316867001947995,-3.6286640595838238,-5.837289657132239,88
-2.644253450550263,-2.9273784246908017,-2.5572299217874774,-2.6104727009979554,-2.7232000955249527,-2.7226949316350093,-2.83997832195385,-3.410821826713725,-3.3686496093565736,-3.653040597775604,-3.1827371531426283,-3.045087265310234,-3.2977570706419956,-3.5433711963460532,-3.454683056472137,-3.645970099655885,-5.922680342560679,89
-2.6282222494915226,-2.932457510671366,-2.5539791682356494,-2.615638589465055,-2.7248526425636936,-2.7301912691070536,-2.8444166484504843,-3.420994003674622,-3.375520800610191,-3.6577470540046715,-3.190783660861352,-3.0503678702502746,-3.3058898370373013,-3.5526645809439676,-3.470525576731111,-3.65520063919631,-5.9541400687711565,90
-2.610953413696624,-2.9323712188177637,-2.5623070398217735,-2.6173343382767063,-2.7292655715015646,-2.742720982730342,-2.8445538276176014,-3.4212326536696804,-3.3775263399569946,-3.6604599142599348,-3.194959861276022,-3.050599497317043,-3.309120561377997,-3.5513212697271213,-3.478463363981696,-3.653947278323326,-5.95332276691167,91
-2.5924720145249553,-2.9321369980722727,-2.584911262698396,-2.6153198650881855,-2.741243521475786,-2.7627307887616834,-2.839990377957628,-3.4121432228188127,-3.3744730493106663,-3.659012742373168,-3.1950439633096757,-3.0455881669144693,-3.3075681302557154,-3.540257068078143,-3.4796689191181014,-3.642569297563634,-5.95110437615021,92
-2.572953779678663,-2.931791830657864,-2.618222749042893,-2.610584343939492,-2.7588952372272706,-2.788813013113216,-2.8320120665458486,-3.395993693191958,-3.367648474032076,-3.655176216807632,-3.192108782991683,-3.036697242874531,-3.3023824152427737,-3.5216483817078736,-3.475494446859752,-3.6235815542282426,-5.947835168712266,93
-2.5525744368598984,-2.9313726987975115,-2.6586724110326383,-2.604116948870625,-2.7803294634969307,-2.819559981697076,-2.8219046604575477,-3.3750520468590564,-3.3583401594820965,-3.65072101602659,-3.187227136351414,-3.025290089029208,-3.29471328791149,-3.4976716163271604,-3.4672921519260727,-3.5994989056281628,-5.943865416823337,94
-2.5315097137708102,-2.9309165847141863,-2.7026911608450086,-2.596906853921585,-2.8036549450256776,-2.8535640204254005,-2.8109539267680095,-3.351586265890046,-3.347835651021599,-3.647417818493301,-3.181471839418237,-3.012730069210477,-3.2857106198341794,-3.470503177646845,-3.4564142390364863,-3.572836209074404,-5.9395453927089115,95
-2.509935338113548,-2.9304604706308615,-2.74670991065738,-2.589943233132371,-2.826980426554425,-2.8894174552103276,-2.800445632552519,-3.3278643323548667,-3.3374224940114545,-3.6470373026710274,-3.1759157082215212,-3.0003805472503173,-3.27652428258316,-3.4423194713777714,-3.4442129129104173,-3.546108321877978,-5.935225368594487,96
-2.4880270375902604,-2.9300413387705078,-2.7871595726471243,-2.584215260542983,-2.8484146528240837,-2.9257126119639927,-2.791665544886361,-3.3061542283234595,-3.3283882338125355,-3.6513501470230305,-3.171631558790637,-2.9896048869807075,-3.26830414773075,-3.4152969032307845,-3.43204037826729,-3.5218301013498947,-5.931255616705556,97
-2.4659605399030973,-2.9296961713561,-2.8204710589916213,-2.5807121101934207,-2.866066368575569,-2.961041816598537,-2.78589943084482,-3.288723935865762,-3.3220204157857123,-3.662127030012573,-3.169692207154953,-2.9817664522336256,-3.2622000868492655,-3.3916118789167267,-3.4212488398265295,-3.5025164048011637,-5.927986409267614,98
-2.443911572754208,-2.9294619506106088,-2.8430752818682437,-2.5804229561236833,-2.8780443185497906,-2.9939973950260934,-2.78443305750318,-3.2778414370517135,-3.3196065852918566,-3.681138630102913,-3.1711704693438385,-2.97822860684105,-3.2593619715110234,-3.373440804146443,-3.413190502307559,-3.4906820895427964,-5.925768018506153,99
-2.4220558638457415,-2.9293756587570066,-2.851403153454368,-2.5843369723737704,-2.8824572474876615,-3.0231716731588016,-2.788552191936726,-3.275774713951254,-3.3224342876918405,-3.7101556257573147,-3.1771391613866635,-2.9803547146349585,-3.260939673288341,-3.3629600846307772,-3.4092175704298024,-3.4888420128858026,-5.924950716646667,100
-2.399830310275377,-2.9329851137978653,-2.8470529554413924,-2.591730598468057,-2.8848087485581173,-3.0494317180298687,-2.7983411198870343,-3.2816125598318484,-3.3287606747682297,-3.7541935227774377,-3.1875970337891752,-2.987489240667807,-3.2656833000761845,-3.3572668009792377,-3.407394286514349,-3.4958362369045877,-5.937724284345016,101
-2.376739840961818,-2.9427822060516253,-2.8352452751204593,-2.601176046248974,-2.8911913943207828,-3.074719043711823,-2.81251327868802,-3.2924967673251153,-3.3362822652852517,-3.81420245412823,-3.201430842431518,-2.9978541400689074,-3.2717060079634277,-3.3524912068673443,-3.4052429432527704,-3.508412351466108,-5.972395396669108,102
-2.3530622313387517,-2.9572200262150603,-2.817844483068557,-2.612606148233605,-2.9005973986026046,-3.0992376466757823,-2.8302981628034716,-3.307774817547221,-3.3454456550762646,-3.885855039017882,-3.2180454114046544,-3.0111290117855227,-3.27920224081325,-3.3493594676049536,-3.4033028209202163,-3.525946505570196,-6.0234896674625045,103
