C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,time
-2.119419812558814,-3.1968561183983595,-3.065818406677146,-3.3802255744866962,-3.844529705766314,-3.7481543908076165,-3.4249099807450962,-3.644434712221635,-3.4237848489985403,-5.665084596328912,-4.253667949232435,-4.347508439239825,-4.252287977786796,-3.8735381884560804,-3.486132940072237,-3.5249153206352837,-3.64560994160098,-5.024572647892729,-4.212811725026441,-6.135133457372449,-5.396657271034321,114
-2.1023117237328086,-3.1876599503845813,-3.1003775825345574,-3.4030631081040563,-3.789023858190904,-3.7368063230970487,-3.472320903314269,-3.7030693402940926,-3.4384987623096306,-5.874578818636568,-4.4039217308391985,-4.291842639015689,-4.414788931109801,-3.8025538849429834,-3.533918399700719,-3.5591271625923215,-3.7131465515299915,-5.327538294047412,-4.374695169293994,-6.031694867499474,-5.321319795177635,115
-2.086278503254024,-3.179135038918387,-3.1348370903094094,-3.4246393359286555,-3.733537484360239,-3.724970663906447,-3.519108530902668,-3.760831175270838,-3.4534874602623247,-6.0663566989541184,-4.556720532166297,-4.23432781295695,-4.579723589273778,-3.7341166476925154,-3.5811638047935404,-3.5949243303193055,-3.7813791128833087,-5.620088207262097,-4.53977000150086,-5.928256277626497,-5.242491059456421,116
-2.0715395851021747,-3.172710170983396,-3.1683293762753335,-3.4443757499583634,-3.6837598095347914,-3.7144609121890104,-3.563865360345082,-3.8149666632321444,-3.4690379082520955,-6.228845302319204,-4.706785251311289,-4.180409291672978,-4.740944936874828,-3.6753655154212024,-3.6258601716400927,-3.6323409335657333,-3.8477056207382057,-5.884072852176435,-4.702148052291552,-5.833204600445924,-5.170031987566028,117
-2.058314403256975,-3.1698141335632255,-3.1999868867059593,-3.4616938421910497,-3.645380058975036,-3.7070905668979353,-3.605183888476303,-3.862722250258291,-3.4854370716744145,-6.350471693769476,-4.848836786371741,-4.135532405773143,-4.892305958509066,-3.633439526845567,-3.665998516529772,-3.671411082081102,-3.9095240701719605,-6.101342693430091,-4.8559411523105975,-5.75492674865016,-5.1138035032017966,118
-2.04682239169814,-3.1718757136414952,-3.2289420678749194,-3.4760151046245853,-3.6240874579414437,-3.7046731269864233,-3.641656612131121,-3.9013443824295564,-3.5029719159247557,-6.419662938342582,-4.977596035445214,-4.105142485866812,-5.0276596387726,-3.615477720682133,-3.699569855751973,-3.7121688856149118,-3.9642324562618487,-6.253748195662723,-4.995261132202518,-5.701809634931605,-5.083666530059077,119
-2.037282984405384,-3.180323698201823,-3.254327366055845,-3.486761029256839,-3.6255712316944884,-3.709022091407671,-3.671876028144328,-3.928079505826217,-3.5219294063985918,-6.424846101076168,-5.087783896629272,-4.094684862563353,-5.140858962261541,-3.628619135647423,-3.724565205596091,-3.7546484539166594,-4.009228774085146,-6.323139823513991,-5.114219822611838,-5.682240171982664,-5.089481991833212,120
-2.03008666136013,-3.1964492782648604,-3.276388333471797,-3.492230328499057,-3.6494983940888877,-3.7180560096904776,-3.6961452898965,-3.940781545996078,-3.542416127498953,-6.348375871123523,-5.18227594036356,-4.102261277286505,-5.24250617931749,-3.6740107067769436,-3.7394922054302464,-3.802463941639401,-4.044877192663626,-6.292979047027424,-5.217797748253121,-5.683711838570087,-5.1362126562810575,121
-2.025222794721242,-3.219488077155364,-3.2961610733703397,-3.4920777768041402,-3.689784015514549,-3.72873785488086,-3.7160924488444707,-3.9411137767528177,-3.564193699039624,-6.192450860197437,-5.268144329976332,-4.121170132417518,-5.344866111660182,-3.744886172643652,-3.7456051565292077,-3.8575878394057233,-4.074078403595908,-6.172899534378674,-5.3148681170030985,-5.687706362164522,-5.2163894735093965,122
-2.022309156734597,-3.2477855303131116,-3.3139638585618587,-3.487758959232441,-3.74348940603473,-3.7414477612078394,-3.7322973489374154,-3.932036666575523,-3.5870316395322113,-5.975264017174798,-5.346404852898066,-4.149651750002027,-5.444285600952935,-3.8365147772702537,-3.745015068042341,-3.9175917609194233,-4.09803518582455,-5.984010047405574,-5.405381784249551,-5.693593028514213,-5.321225640738463,123
-2.020963519646072,-3.2796870731778824,-3.3301149618567423,-3.480729460844313,-3.8076758757126927,-3.756565862900443,-3.745339834124512,-3.9165106839432813,-3.6106994674883226,-5.7150082909325,-5.418073296559246,-4.185946452085671,-5.537111488859068,-3.9441657646794583,-3.7398329491190156,-3.980047319884301,-4.117950318292104,-5.747419347945962,-5.489289605380256,-5.700741123367413,-5.441934355188501,124
-2.0208036557015423,-3.313538141189453,-3.3449326560653754,-3.4724448667001093,-3.8794047346116933,-3.774472294187692,-3.7557997483549355,-3.8974962973351786,-3.6349667014195624,-5.429876630347433,-5.484165448390351,-4.228294560714084,-5.619690617041896,-4.063108378893968,-3.7321698089085955,-4.042526130004152,-4.135026579941128,-5.484236197837668,-5.566542435782991,-5.708519932472363,-5.569728814079745,125
-2.0214473371468857,-3.3476841697876023,-3.358735213998145,-3.464360761860183,-3.9557372927949936,-3.79554718929861,-3.764256935577863,-3.877953975230301,-3.6596028598375367,-5.138061984296485,-5.545697095821861,-4.274936397932906,-5.688369827164736,-4.188611863936494,-3.7241366565604497,-4.102599804982778,-4.150466749714174,-5.215569358918528,-5.637091130845538,-5.716298741577315,-5.695822214632439,126
-2.0225123362279787,-3.380470594412107,-3.371840908465438,-3.4579327313848878,-4.0337348603258505,-3.820170682462222,-3.771291239742469,-3.860844186107737,-3.6843774612538542,-4.857757301656555,-5.603684026284256,-4.324112285787771,-5.7394959608909035,-4.315945463829738,-3.7178445012239445,-4.157839958523971,-4.1654736065538,-4.9625275930263815,-5.7008865459556715,-5.723446836430513,-5.8114277540668144,127
-2.023616425190697,-3.4102428505027462,-3.3845680122776405,-3.454616360334576,-4.110458747267524,-3.8487229079075505,-3.7774825047979315,-3.849127398446571,-3.7090600241801184,-4.6071555313045325,-5.659142027208016,-4.374062546324317,-5.7694158598837175,-4.440378422596408,-3.7154043520484463,-4.205818204331534,-4.181249929402557,-4.746219661999061,-5.757879536501171,-5.7293335027802055,-5.907758629603114,128
-2.0243773762809174,-3.4353463734992977,-3.39723479824514,-3.455867233769601,-4.182970263683273,-3.8815839998636203,-3.7834105746934257,-3.8457640807258913,-3.7334200671279367,-4.404449622117309,-5.713086886023623,-4.42302750158818,-5.7744763658064935,-4.55717998425921,-3.7189272181833237,-4.244106156109262,-4.1989984972030046,-4.587754327674402,-5.808020957869815,-5.7333280263746405,-5.976028038461573,129
-2.0244129617445177,-3.4541265988415386,-3.410159539178321,-3.463140936750317,-4.248330719636355,-3.9191340925594536,-3.789655293378128,-3.853714701424784,-3.757227108608915,-4.267832522971775,-5.7665343901615564,-4.469247473624997,-5.751024320322551,-4.6616193928408505,-3.7305241087779417,-4.270275427560954,-4.219922088897693,-4.508240351890238,-5.851261665449382,-5.7347996929620635,-6.0074491778624335,130
-2.024097786870505,-3.4669145703371744,-3.422600520049877,-3.4790573619620626,-4.316590489734206,-3.9683820980497178,-3.7933483964358836,-3.8724039669609267,-3.7816489243268685,-4.188672434947681,-5.82226161141399,-4.514302799185589,-5.6839441332314005,-4.768619387514028,-3.7476187076009095,-4.2812424083435365,-4.240974371368807,-4.50575610223684,-5.890586343587705,-5.74332428480492,-5.995898682383708,131
