ID,rank,mean,variable,value,average,cluster
14318,102,1.2532268317402826e-4,18,1.0106124386985428e-4,8.770402211149449e-5,3
90236,611,1.1410720582486786e-4,3,3.323314647442843e-7,8.770402211149449e-5,3
32001,225,1.1166620197295207e-4,15,1.1152611695014675e-4,8.770402211149449e-5,3
38179,276,1.5489765521369198e-4,9,4.2172649881556793e-4,8.770402211149449e-5,3
93529,625,1.3583336803288233e-4,13,2.475900067046248e-4,8.770402211149449e-5,3
32001,225,1.1166620197295207e-4,17,1.7696296165212622e-4,8.770402211149449e-5,3
10200,77,1.0252819375258908e-4,10,1.769831553270424e-4,8.770402211149449e-5,3
63102,444,1.0246097135846452e-4,11,1.7566140463685776e-4,8.770402211149449e-5,3
16588,115,3.5833547129570807e-4,4,9.93618852881833e-5,8.770402211149449e-5,3
93529,625,1.3583336803288233e-4,9,3.5631085188343915e-4,8.770402211149449e-5,3
62101,438,5.616968407286986e-5,7,2.1179329871052764e-5,8.770402211149449e-5,3
45697,326,5.418718183142712e-5,6,6.916280527142078e-5,8.770402211149449e-5,3
